Sıra,Model Name,H,Wtwo,Pone,Ptwo,P,Dxdxg1,W,L,Lone,htwo,Wone,Hone,Mxg2,Mone,T,None,Ntwo,Ntheree,E,Sone,Stwo,Stheree,Sfour,C,Czero,Mrzero,Mpzero,Myzero,Block(g),Rail(g/m),Category
22,ARC 35 MN,48.0,18.0,50.0,50.0,80.0,14x9x12,70.0,111.2,86.2,40.4,34.0,32.0,M8x13,0,14.0,M6x10,M6x7,P5,8.0,15.0,23.4,24.1,45.9,82.9,1700.0,1080.0,1080.0,1120.0,6790.0,3020.0,
23,ARC 45 MN,60.0,20.5,60.0,60.0,105.0,20x14x17,86.0,135.5,102.5,50.7,45.0,39.0,M10x17,0,14.0,"PT1/8x12,5","M6x10,5",P5,11.1,18.1,27.3,27.2,71.3,122.1,3200.0,1910.0,1910.0,2120.0,10530.0,3020.0,
24,ARC 55 MN,70.0,23.5,75.0,75.0,120.0,20x16x18,100.0,155.6,118.6,58.0,53.0,46.0,M12x20,0,16.0,"PT1/8x14,5","M6x12,5",P5,12.0,19.5,28.5,29.5,103.4,173.1,5030.0,3120.0,3120.0,3880.0,14060.0,3020.0,
25,ARC 20 ML,28.0,11.0,45.0,32.0,60.0,"9,5x6x8,5",42.0,87.2,70.2,23.0,20.0,20.0,M5x7,0,8.0,"M3x7,5","M3x5,5",P4,10.0,4.0,7.4,15.6,16.3,20.4,38.5,415.0,390.0,390.0,330.0,2280.0,
26,ARC 30 ML,42.0,16.0,60.0,40.0,80.0,14x9x12,60.0,118.0,94.0,35.2,28.0,27.0,M8x10,0,12.0,"M6x8,5",M6x5,P5,12.0,8.7,12.0,21.7,21.7,39.6,70.2,1105.0,950.0,950.0,1138.0,4380.0,
27,ARC 35 ML,48.0,18.0,72.0,50.0,80.0,14x9x12,70.0,136.6,111.6,40.4,34.0,32.0,M8x13,0,14.0,M6x10,M6x7,P5,12.0,8.0,15.0,25.1,25.8,54.7,106.5,2185.0,1755.0,1755.0,1536.0,6790.0,
28,ARC 45 ML,60.0,20.5,80.0,60.0,105.0,20x14x17,86.0,171.5,138.5,50.7,45.0,39.0,M10x17,0,14.0,"PT1/8x12,5","M6x10,5",P5,14.0,11.1,18.1,35.0,35.0,89.5,169.1,4430.0,3460.0,3460.0,3160.0,10530.0,
29,ARC 55 ML,70.0,23.5,95.0,75.0,120.0,20x16x18,100.0,202.5,165.5,58.0,53.0,46.0,M12x20,0,16.0,"PT1/8x14,5","M6x12,5",P5,14.0,12.0,19.5,42.0,43.0,129.9,239.7,6965.0,5855.0,5855.0,4800.0,14060.0,
30,ARC 20 FN,28.0,19.5,32.0,49.0,60.0,"9,5x6x8,5",59.0,69.0,52.0,23.0,20.0,20.0,M6x10,M5,10.0,"M3x7,5","M3x5,5",P4,10.0,4.0,7.4,13.0,13.7,17.1,30.0,325.0,230.0,230.0,336.0,2280.0,
31,ARC 25 FN,33.0,25.0,35.0,60.0,60.0,11x7x9,73.0,81.2,62.2,27.0,23.0,23.0,M8x12,M6,12.0,"M6x7,5","M3x6,5",P4,12.0,5.0,9.3,16.6,17.6,24.8,42.5,540.0,385.0,385.0,524.0,3020.0,
32,ARC 30 FN,42.0,31.0,40.0,72.0,80.0,14x9x12,90.0,95.5,71.5,35.2,28.0,27.0,M10x15,M8,15.0,"M6x8,5",M6x5,P5,12.0,7.5,12.0,20.8,20.5,32.8,53.7,845.0,565.0,565.0,1200.0,4380.0,
33,ARC 35 FN,48.0,33.0,50.0,82.0,80.0,14x9x12,100.0,111.2,86.2,40.4,34.0,32.0,M10x15,M8,15.0,M6x10,M6x7,P5,12.0,8.0,15.0,23.4,24.1,45.9,82.9,1700.0,1080.0,1080.0,1580.0,6790.0,
34,ARC 15 MS,24.0,9.5,0.0,26.0,60.0,"7,5x4,5x5,3",34.0,41.2,26.0,20.7,15.0,15.0,M4x7,0,6.0,"M3x6,5",M3x6,P3,3.5,4.5,7.5,15.6,16.7,7.7,12.1,100.0,50.0,50.0,106.0,1290.0,
35,ARC 20 MS,28.0,11.0,0.0,32.0,60.0,"9,5x6x8,5",42.0,49.2,32.2,23.0,20.0,20.0,M5x7,0,8.0,"M3x7,5","M3x5,5",P4,10.0,4.0,7.4,19.1,19.8,12.5,19.3,205.0,100.0,100.0,170.0,2280.0,
